Product_Name,Category,Flavor,Order_Status,Sales_Channel,Container_Size_Lbs,Servings_Per_Container,Price_Per_Unit_PHP,Units_Sold,Total_Price_PHP,Order_Date,Shipment_Date
Max Pre-Workout,Pre-Workout,Sour Apple,Processing,Online Store,1.33,60,1906,496,945376,8/27/2026,09/04/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Online Store,12,32,3973,2975,11819675,4/17/2025,04/22/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Gym Partner,5,75,2954,2588,7644952,8/27/2026,08/31/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Returned,Online Store,6,16,2284,1407,3213588,12/9/2026,12/15/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Cancelled,Gym Partner,2,30,1602,1132,1813464,7/12/2025,07/18/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Processing,Gym Partner,6,16,2167,4838,10483946,6/10/2025,06/14/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Shipped,Online Store,12,32,4118,3395,13980610,11/19/2025,11/21/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Retail Store,12,32,3282,1375,4512750,5/8/2025,05/15/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Processing,Gym Partner,2,30,1226,3406,4175756,8/18/2025,08/24/2025
Creatine Drive,Creatine,Fruit Punch,Processing,Gym Partner,1.1,100,1782,2154,3838428,2/26/2026,03/07/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Processing,Marketplace,2,30,1294,1461,1890534,1/8/2025,01/13/2025
Creatine Drive,Creatine,Unflavored,Processing,Gym Partner,1.1,100,1426,3424,4882624,10/19/2026,10/23/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Shipped,Marketplace,2,30,1783,3651,6509733,3/8/2025,03/16/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Shipped,Marketplace,0.66,60,716,1014,726024,8/31/2026,09/06/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Processing,Retail Store,2,30,1538,3485,5359930,8/14/2026,08/24/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Delivered,Retail Store,2,30,1542,400,616800,4/30/2025,05/04/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Cancelled,Online Store,12,32,3719,4840,17999960,10/16/2026,10/21/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Delivered,Marketplace,0.66,30,1397,1831,2557907,7/7/2026,07/12/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Shipped,Retail Store,12,32,3567,253,902451,6/30/2025,07/10/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Gym Partner,12,32,3362,202,679124,5/9/2026,05/14/2026
Plant Power Vegan,Protein Powder,Milk Chocolate,Processing,Online Store,5,75,3243,2790,9047970,12/22/2026,12/24/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Gym Partner,0.66,30,1469,1017,1493973,8/25/2025,09/04/2025
Plant Power Vegan,Protein Powder,Unflavored,Cancelled,Gym Partner,5,75,3039,45,136755,6/1/2025,06/08/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Processing,Marketplace,0.66,30,1294,280,362320,1/9/2026,01/16/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Cancelled,Marketplace,2.2,200,1238,2388,2956344,11/6/2026,11/10/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Delivered,Retail Store,0.66,30,1428,434,619752,8/13/2026,08/19/2026
Plant Power Vegan,Protein Powder,Unflavored,Shipped,Online Store,5,75,2943,4003,11780829,8/18/2025,08/21/2025
Whey Isolate Elite,Protein Powder,Milk Chocolate,Returned,Gym Partner,5,75,3672,2296,8430912,4/4/2026,04/08/2026
